Aavg,Amax,Amed,Amin,Aq25,Aq75,Astd,Ravg,Rmax,Rmed,Rmin,Rq25,Rq75,Rstd,activity
-0.09573933540893918,0.40006078607260703,-0.14177875367234044,-0.2670643602511547,-0.19441279308018372,-0.035092431070662136,0.13304408052201544,0.03609375275690841,2.560293018414345,-0.34373714977481995,-1.025467286274956,-0.6618698881162645,0.637564963332576,0.9182131856760929,Advanced
-0.0632622724690341,0.40006078607260703,-0.08338461484903852,-0.2670643602511547,-0.18376634017822321,0.037836284490197984,0.1389353582172089,0.06803534825232728,2.560293018414345,-0.27666510015783335,-0.8937000190105863,-0.4923781355695004,0.4749150470166826,0.8348157220628486,Advanced
-0.0676696198541737,0.40006078607260703,-0.07800012715885511,-0.2946812841780823,-0.19054086866623735,0.01890787141698841,0.14349158858571345,0.0002959250149007827,2.560293018414345,-0.29216266786304934,-1.0957490682246016,-0.5415977320327727,0.35388817525005045,0.8656634968540284,Advanced
-0.052462424510564515,0.7565686176179278,-0.08605527647506105,-0.2946812841780823,-0.1907682087912568,0.04079927016730973,0.18583990170642944,0.05711200171524124,2.2616712978032165,-0.1900665661849802,-1.0957490682246016,-0.48724838161938844,0.5574660893022476,0.8178617791350552,Advanced
0.11117996802125714,2.2553435504026345,-0.07495310017300702,-0.2946812841780823,-0.1907682087912568,0.11402907148682018,0.5105853328376074,0.07448163079885402,2.2616712978032165,-0.0699761007129354,-1.0957490682246016,-0.6932786120613741,0.703446741502187,0.8409152666333731,Advanced
-0.09351068983084844,0.12324302778851019,-0.11089289901823153,-0.24939852477374963,-0.148340712563773,-0.05766578563611661,0.08505839771741315,0.01268069654616809,4.2061816430564125,-0.5854768499063498,-1.3859525242937818,-0.9439340501549981,0.21785273340651692,1.472054666553372,Advanced
-0.047863839390883504,0.33152081939922173,-0.06761884923870358,-0.2193573603174237,-0.12153157953633782,0.01234822685801059,0.09891771783591082,0.04997201677325606,4.022700280049968,-0.5114068981224467,-1.3109839459196704,-0.792202266775736,0.451259037984858,1.284543972722541,Advanced
-0.007347021910899852,0.33152081939922173,-0.015687021117218206,-0.1981226393337675,-0.09945068944346033,0.0561343559935603,0.11288393266816131,0.04332488969008178,4.022700280049968,-0.5114068981224467,-1.3398785508780595,-0.849316068078232,0.5236750151727149,1.3004254770687727,Advanced
-0.02699050359521023,0.33152081939922173,-0.04705550610381095,-0.2064575099431281,-0.11073931717644801,0.02642957373564163,0.1162455992146861,0.007919268254776147,3.438465113984689,-0.3247281133297162,-1.3398785508780595,-0.803156904077859,0.5236750151727149,1.063930819884187,Advanced
-0.06388481065621807,0.3219868399791961,-0.09132448593436747,-0.22554138348464448,-0.13247337439500903,-0.012065031616252504,0.10889809370372867,0.14582008404761407,3.2566500908939093,0.038495500690036114,-1.3398785508780595,-0.8100150596807857,0.7539262676922077,1.1320437079165708,Advanced
