time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1733277001006144800,1.001144775390625,0.12399004294590456,0.9835634231567383,0.06177587578622973,-0.587682843208313,-8.170866130115104e-18,0.9971206165092594,-0.005454866180288903,right,-0.07519668340682983,0.08781976025775552,1.2081399643562734,-9.693863578775524,0.04398009634939196,-1.094343900680542,0.026796700432896614,-0.8601110281269997,-0.24355950951576233
1733277001046376700,1.041376708984375,0.0842531696638262,2.1686525344848633,0.04269287785441288,-1.0752729177474976,0.03225813237103124,0.9984058214457368,0.06296819149109394,right,-0.008337181061506271,0.03863258112110664,0.8246483773406594,-9.76457260724902,0.017962929680181757,-1.547478437423706,0.11653577536344528,-0.37876189161259677,-0.38768890500068665
1733277001086607600,1.081607666015625,0.04516477660659605,3.058619499206543,0.02195159508225937,-0.7791545391082764,0.08662189583109563,0.9959657112310975,0.1737917748635096,right,0.1065775454044342,-0.012522131253329565,0.44272984832804646,-9.795881353226303,-0.008195453610496133,-1.2716878652572632,0.1264590620994568,0.12279702530563809,-0.21200567483901978
1733277001126839600,1.121839599609375,0.029106001006134752,2.8191847801208496,0.010609954053321984,-0.1915951818227768,0.1479472205338171,0.9885605673315088,0.2978545411707839,right,0.13941165804862976,-0.05091872295000828,0.2850221709624864,-9.789791804179549,-0.027330722590357067,-0.8599230051040649,0.09380190074443817,0.49912641994114965,0.15558965504169464
1733277001167070700,1.16207080078125,0.036710816347480524,1.6278399229049683,0.010509617382569898,0.17299486696720123,0.19304873390259256,0.9802584782522012,0.3903144243063029,right,0.06155554950237274,-0.07720727793626898,0.3588570215726271,-9.770848034256696,-0.04141169614477157,-0.6358523368835449,0.003183597233146429,0.7563928064338863,0.36859533190727234
1733277001207302700,1.202302734375,0.04560724581491698,0.47232919931411743,0.011954778867552536,0.07081760466098785,0.21290332716172983,0.9756263144202154,0.4319018954567083,right,0.0068629044108092785,-0.0961205246840075,0.4450354583892971,-9.751232064160703,-0.05179391118710762,-0.3750016391277313,-0.03651554137468338,0.9411696011792868,0.29718711972236633
1733277001247534600,1.24253466796875,0.04904196613895645,-0.09776567667722702,0.012470884990135357,0.11183567345142365,0.21560390120780967,0.9747550109917295,0.4379510079025552,right,0.011792692355811596,-0.10530516029931841,0.4780815495532006,-9.740600780031084,-0.05667484919656052,-0.11029018461704254,-0.015420974232256413,1.0307833827394992,0.16154012084007263
1733277001287765500,1.282765625,0.05318125205537904,-0.24772974848747253,0.014540626108800128,0.11308853328227997,0.21136853363419328,0.9755810056809019,0.4295727887421581,right,-0.004719343036413193,-0.10704965071163138,0.5183001261623575,-9.736728322511912,-0.05791019434531079,0.03688490390777588,-0.014063183218240738,1.0477946502298117,0.03971939533948898
1733277001327997400,1.32299755859375,0.05416004868170725,-0.15016818046569824,0.015425955224692235,0.008379964157938957,0.2074553910837453,0.976452471043694,0.421548041729717,right,-0.016191305592656136,-0.10538276539903874,0.5279239502824843,-9.737946466130017,-0.057139603279040906,0.05507383495569229,0.0107423672452569,1.031540192456171,-0.0029463921673595905
1733277001368228400,1.363228271484375,0.05233869869737613,-0.11780399084091187,0.014369921722574076,-0.06210299953818321,0.20476098173332413,0.9769606057732426,0.4160413998889058,right,-0.018565112724900246,-0.10850086926998978,0.5100161358112469,-9.735632928490638,-0.0584327074147655,0.04031157121062279,-0.017745470628142357,1.0619436601568013,-0.02191062644124031
1733277001408460500,1.40346044921875,0.047914734286321065,-0.08381535112857819,0.012592129474783824,-0.09641226381063461,0.20301961927935877,0.9774520441421926,0.412121560647774,right,-0.0013636320363730192,-0.10587666813243407,0.4670730661416426,-9.740543496885895,-0.056673812136379786,0.10343671590089798,-0.017874736338853836,1.0363567258924244,0.012237210758030415
1733277001448738800,1.44373876953125,0.04542951068012719,-0.2919527590274811,0.012255694266573434,-0.003135691862553358,0.19989962468315398,0.9783021199821389,0.4053698678657688,right,0.007866696454584599,-0.0990712951667858,0.4431742310946807,-9.748494163629411,-0.053055760484114,0.30801963806152344,-0.016058126464486122,0.969969067749381,0.07397883385419846
